ID;Partner neve;Székhelye;Megye;Teljesítés;Számlaszám;Termék megnevezése;Db;Egységár;Eá. Pénznem;Nettó ár;Nettó pénznem
806.;Balmazpharm Kft.;4060 Balmazújváros, Bocskai u. 2-4.;HAJDÚ-BIHAR MEGYE;2020.04.10;2024-100;Probiotikum;40;1 625,00   ;HUF;65 000   ;HUF
807.;Balmazpharm Kft.;4060 Balmazújváros, Bocskai u. 2-4.;HAJDÚ-BIHAR MEGYE;2020.04.10;2024-100;Ginseng;20;870,00   ;HUF;17 400   ;HUF
808.;Balmazpharm Kft.;4060 Balmazújváros, Bocskai u. 2-4.;HAJDÚ-BIHAR MEGYE;2020.04.10;2024-100;Ginseng;13;5,00   ;HUF;65   ;HUF
809.;Balmazpharm Kft.;4060 Balmazújváros, Bocskai u. 2-4.;HAJDÚ-BIHAR MEGYE;2020.04.10;2024-100;Kalcium+Vitamin D ;10;835,00   ;HUF;8 350   ;HUF
810.;Balmazpharm Kft.;4060 Balmazújváros, Bocskai u. 2-4.;HAJDÚ-BIHAR MEGYE;2020.04.10;2024-100;Kalcium+Vitamin D ;6;5,00   ;HUF;30   ;HUF
811.;Balmazpharm Kft.;4060 Balmazújváros, Bocskai u. 2-4.;HAJDÚ-BIHAR MEGYE;2020.04.10;2024-100;Omega 3;10;1 270,00   ;HUF;12 700   ;HUF
812.;Balmazpharm Kft.;4060 Balmazújváros, Bocskai u. 2-4.;HAJDÚ-BIHAR MEGYE;2020.04.10;2024-100;Omega 3;6;5,00   ;HUF;30   ;HUF
994.;RANGERS V&V Kft.;3527 Miskolc, Baross Gábor u. 16.;BORSOD-ABAÚJ ZEMPLÉN MEGYE;2022.02.12;2024-46;Kollagén 20x;10;4 492,00   ;HUF;44 920   ;HUF
996.;Kis-Kamilla Patika Kft.;4200 Hajdúszoboszló, Bethlen utca 30.;HAJDÚ-BIHAR MEGYE;2022.02.12;2024-47;Kollagén 20x;5;4 492,00   ;HUF;22 460   ;HUF
997.;Kis-Kamilla Patika Kft.;4200 Hajdúszoboszló, Bethlen utca 30.;HAJDÚ-BIHAR MEGYE;2022.02.12;2024-47;Multi-Vitamin 60x ;5;1 261,60   ;HUF;6 308   ;HUF
998.;TECTRA 95 Kft.;4200 Hajdúszoboszló, Széchenyi u. 14.;HAJDÚ-BIHAR MEGYE;2022.02.12;2024-48;Kollagén 20x;5;4 492,00   ;HUF;22 460   ;HUF
999.;TECTRA 95 Kft.;4200 Hajdúszoboszló, Széchenyi u. 14.;HAJDÚ-BIHAR MEGYE;2022.02.12;2024-48;Multi-Vitamin 60x ;5;1 261,60   ;HUF;6 308   ;HUF
1003.;"""MÁTYÁS KIRÁLY"" Kft.";4028 Debrecen, Laktanya utca 23.;HAJDÚ-BIHAR MEGYE;2022.02.12;2024-50;Ginseng;20;870,00   ;HUF;17 400   ;HUF
1004.;"""MÁTYÁS KIRÁLY"" Kft.";4028 Debrecen, Laktanya utca 23.;HAJDÚ-BIHAR MEGYE;2022.02.12;2024-50;Ginseng;5;5,00   ;HUF;25   ;HUF
1005.;Balmazpharm Kft.;4060 Balmazújváros, Bocskai u. 2-4.;HAJDÚ-BIHAR MEGYE;2022.02.12;2024-51;Multi-Vitamin 60x ;20;1 261,60   ;HUF;25 232   ;HUF
1006.;Balmazpharm Kft.;4060 Balmazújváros, Bocskai u. 2-4.;HAJDÚ-BIHAR MEGYE;2022.02.12;2024-51;Kollagén 20x;10;4 492,00   ;HUF;44 920   ;HUF
1007.;Pappné Vass Anikó Eleonóra;4324 Kállósemjén, Kossuth út 87.;SZABOLCS-SZATMÁR BEREG MEGYE;2022.02.12;2024-52;Multi-Vitamin 60x ;10;1 261,60   ;HUF;12 616   ;HUF
1008.;Pappné Vass Anikó Eleonóra;4324 Kállósemjén, Kossuth út 87.;SZABOLCS-SZATMÁR BEREG MEGYE;2022.02.12;2024-52;Kollagén 20x;2;4 492,00   ;HUF;8 984   ;HUF
1009.;Terra Gold Kft.;4251 Hajdúsámson, Kiscsere utca 3.;HAJDÚ-BIHAR MEGYE;2022.02.13;2024-53;Multi-Vitamin 60x ;20;1 200,00   ;HUF;24 000   ;HUF
1010.;Terra Gold Kft.;4251 Hajdúsámson, Kiscsere utca 3.;HAJDÚ-BIHAR MEGYE;2022.02.13;2024-53;Kollagén 20x;20;3 800,00   ;HUF;76 000   ;HUF
